id_producto,codigo_producto,nombre_producto,id_categoria,id_laboratorio,tipo_producto,presentacion,unidad_medida,precio_venta_referencia,costo_referencia,requiere_receta,estado
1,PROD-0001,Paracetamol 500mg,1,8,MEDICAMENTO,Paquete,g,15.05,8.14,true,ACTIVO
2,PROD-0002,Ibuprofeno 400mg,1,2,MEDICAMENTO,Tubo,g,11.86,7.99,false,ACTIVO
3,PROD-0003,Naproxeno 550mg,1,6,MEDICAMENTO,Paquete,ml,13.42,7.05,false,ACTIVO
4,PROD-0004,Acetaminofén Infantil,1,6,MEDICAMENTO,Frasco,g,8.01,4.13,false,ACTIVO
5,PROD-0005,Diclofenaco Gel,1,5,MEDICAMENTO,Sobre,cápsulas,5.90,2.76,false,ACTIVO
6,PROD-0006,Ketorolaco 10mg,1,10,MEDICAMENTO,Sobre,g,5.80,3.45,false,ACTIVO
7,PROD-0007,Aspirina 100mg,1,7,MEDICAMENTO,Paquete,tabletas,8.11,4.00,false,ACTIVO
8,PROD-0008,Meloxicam 15mg,1,10,MEDICAMENTO,Caja,tabletas,8.42,5.34,false,ACTIVO
9,PROD-0009,Antigripal Día,2,5,MEDICAMENTO,Sobre,g,4.23,2.11,false,ACTIVO
10,PROD-0010,Antigripal Noche,2,5,MEDICAMENTO,Sobre,cápsulas,11.94,6.42,true,ACTIVO
11,PROD-0011,Jarabe Tos Adulto,2,6,MEDICAMENTO,Tubo,ml,3.40,2.23,true,ACTIVO
12,PROD-0012,Jarabe Tos Infantil,2,8,MEDICAMENTO,Paquete,ml,6.61,3.53,false,ACTIVO
13,PROD-0013,Pastillas Garganta Miel,2,6,MEDICAMENTO,Unidad,cápsulas,9.50,6.09,true,ACTIVO
14,PROD-0014,Spray Nasal,2,2,MEDICAMENTO,Caja,g,3.60,2.08,false,ACTIVO
15,PROD-0015,Descongestionante 12h,2,7,MEDICAMENTO,Frasco,unidad,4.00,1.91,false,ACTIVO
16,PROD-0016,Vitamina C Efervescente,2,6,MEDICAMENTO,Caja,ml,5.47,3.65,false,ACTIVO
17,PROD-0017,Protector Solar FPS50,3,2,DERMOCOSMETICO,Caja,cápsulas,34.16,19.07,false,ACTIVO
18,PROD-0018,Crema Reparadora,3,1,DERMOCOSMETICO,Frasco,tabletas,18.54,12.26,false,ACTIVO
19,PROD-0019,Gel Limpiador Facial,3,8,DERMOCOSMETICO,Frasco,ml,34.16,20.01,false,ACTIVO
20,PROD-0020,Serum Hidratante,3,9,DERMOCOSMETICO,Frasco,unidad,10.16,7.01,false,ACTIVO
21,PROD-0021,Loción Corporal Piel Sensible,3,4,DERMOCOSMETICO,Paquete,cápsulas,10.21,5.46,false,ACTIVO
22,PROD-0022,Crema Antiacné,3,5,DERMOCOSMETICO,Unidad,ml,16.10,11.58,false,ACTIVO
23,PROD-0023,Agua Micelar,3,2,DERMOCOSMETICO,Paquete,ml,11.58,6.91,false,ACTIVO
24,PROD-0024,Bálsamo Labial,3,5,DERMOCOSMETICO,Paquete,cápsulas,30.06,14.40,false,ACTIVO
25,PROD-0025,Pasta Dental Blanqueadora,4,9,HIGIENE,Frasco,g,5.43,3.77,false,ACTIVO
26,PROD-0026,Enjuague Bucal Menta,4,1,HIGIENE,Caja,tabletas,5.34,3.42,false,ACTIVO
27,PROD-0027,Cepillo Dental Suave,4,9,HIGIENE,Caja,unidad,11.04,5.35,false,ACTIVO
28,PROD-0028,Hilo Dental,4,5,HIGIENE,Tubo,unidad,4.50,2.78,false,ACTIVO
29,PROD-0029,Pasta Dental Infantil,4,3,HIGIENE,Frasco,ml,10.81,7.21,false,ACTIVO
